          MJD       m       dm    uJy   duJy     Mask
 57233.373157  19.919    0.855     39     33 0x002000
 57233.409910  19.168    0.478     78     37 0x002000
 57234.372875 -21.423    4.000    -10     39 0x002000
 57320.254883  18.253    0.263    182     48 0xc00a20
 57320.276640  18.667    0.429    124     53 0xd00823
 57320.295913  19.872    1.450     41     59 0xd00a23
 57320.319230 -19.402    0.905    -63     57 0xd00a22
 57328.238159  14.611    0.007   5198     39 0xd00831
 57328.255812  14.569    0.007   5402     39 0xd00831
 57328.271612  17.290    0.089    441     39 0xd00a31
 57328.289305  17.043    0.077    553     43 0xd00a31
 57466.609083  14.804    0.005   4349     21 0xd00831
 57466.625409  15.157    0.007   3143     21 0xd00831
 57466.641722  18.634    0.172    128     22 0xc00b30
 57466.658373 -21.240   14.406    -12    167 0x900002
 57470.553128  16.429    0.611    974    595 0x900002
 57470.566404 -17.325    5.622   -427   2398 0x900002
 57470.579696  19.044    0.852     88     75 0x900002
 57470.591007  18.957    0.670     95     64 0x900002
 57474.644613  22.885   16.143      2     41 0x002000
 57492.531786  14.377    0.005   6446     30 0xd00831
 57492.546771  14.957    0.006   3778     22 0xd00a31
 57492.558065  15.226    0.007   2947     20 0xd00831
 57492.571343  14.931    0.005   3870     20 0xd00831
 57523.492241  18.643    0.390    127     49 0xc00a20
 57523.503665  14.513    0.005   5685     26 0xd00831
 57523.514907  15.386    0.010   2545     25 0xd00931
 57523.525486  14.868    0.005   4102     20 0xd00831
 57523.538728  14.894    0.006   4005     24 0xd00831
 57527.512807  20.442    1.386     24     34 0xd00231
 57527.523844  17.990    0.155    231     36 0xd00221
 57527.535116  21.354    3.522     10     37 0xc00330
 57527.546190  18.650    0.304    126     38 0xc00130
 57527.557816  18.367    0.209    163     34 0xd00a31
 57534.370414  17.075    0.096    537     51 0xd00831
 57534.370897  17.616    0.160    326     52 0xd00831
 57534.371381  17.013    0.091    569     52 0xd00831
 57534.371864  18.471    0.379    148     56 0xd00823
 57534.372347  19.348    0.812     66     54 0xd00832
 57534.372833  17.059    0.083    545     45 0xd00831
 57534.373317  17.376    0.134    407     55 0xd00833
 57534.373800  13.921    0.004   9810     44 0xd00831
 57534.374283  17.928    0.205    245     50 0xd00831
 57534.374767  17.756    0.188    287     54 0xd00833
 57535.478976  14.731    0.006   4649     28 0xd00a31
 57535.490504  14.739    0.006   4618     26 0xd00931
 57535.501815  16.988    0.047    582     27 0xd00b31
 57535.512878  14.463    0.004   5952     27 0xd00831
 57535.523388  14.147    0.004   7965     31 0xd00831
 57914.530063  19.767    0.476     45     21 0x400220
 57914.546969  20.857    1.409     16     23 0x000000
 57914.563058  21.208    1.919     12     23 0x000000
 57914.579132  21.961    4.394      6     26 0x000000
 57914.595072 -21.596    3.076     -8     26 0x000000
 57921.584813  19.272    0.226     71     16 0x002030
 57921.593843  17.644    0.225    318     72 0x500a32
 57921.603282  19.449    0.282     60     17 0x400b30
 57921.612294  20.232    0.685     29     20 0x002000
 57922.543830  16.087    1.251   1334   1668 0x900002
 57925.526407  20.045    0.374     35     13 0x002000
 57925.529366  15.461    0.005   2374     13 0x500831
 57925.538724  15.393    0.004   2528     11 0x500831
 57925.547588  19.597    0.251     53     13 0x400330
 57927.506603  21.307    1.034     11     11 0x400130
 57927.523897  20.366    0.422     26     11 0x400830
 57927.532635  20.605    0.636     21     13 0x400130
 57927.541305  22.627    3.735      3     12 0x082030
 57929.508567  17.940    0.052    242     13 0x500a31
 57929.517973  15.761    0.007   1801     12 0x500b31
 57929.531318  19.750    0.258     46     12 0x400130
 57929.540151  20.089    0.388     33     13 0x002000
 57933.506875  16.098    0.007   1321      9 0x100031
 57933.516728  19.199    0.148     76     11 0x400330
 57933.523143  19.820    0.237     43     10 0x400330
 57933.531977  18.846    0.106    105     11 0x082030
 57937.506912  15.618    0.006   2055     13 0xd00831
 57937.517263  15.199    0.004   3024     12 0xd00a31
 57937.522684  16.281    0.010   1116     11 0xd00831
 57937.534015  15.555    0.006   2177     13 0xd00b31
 57939.511266  22.177    2.750      5     13 0x400220
 57939.512241  20.279    0.564     28     16 0x400210
 57939.530981  22.939    5.815      2     14 0x002000
 57939.533286  20.344    0.658     26     17 0x002000
 57941.489441  19.955    0.546     38     21 0x400210
 57941.498953 -20.676    0.884    -20     17 0x002010
 57941.515733  20.888    1.135     16     18 0x400110
 57941.517700  20.120    0.523     32     17 0x400220
 57943.447851  18.795    1.138    110    125 0x100002
 57943.458124  20.031    0.804     35     28 0x002000
 57943.477549 -17.630    0.716   -322    231 0x100002
 57943.481583 -17.499    1.288   -364    468 0x100002
 57945.505627  20.551    1.035     22     23 0x080020
 57945.515552 -20.712    1.291    -19     24 0x000000
 57945.517028 -20.552    0.882    -22     19 0x000000
 57945.534449 -25.075   73.500      0     25 0x000000
 57949.483847  18.717    0.174    118     21 0x400130
 57949.495211  20.935    1.145     15     18 0x400220
 57949.512790  21.152    1.509     13     19 0x002000
 57949.516187  15.504    0.008   2284     17 0x500931
 57953.466075  15.739    0.007   1838     14 0xd00831
 57953.475350  15.433    0.006   2437     14 0xd00931
 57953.476315  15.677    0.007   1946     13 0xd00831
 57953.492897  15.712    0.006   1884     12 0xd00831
 57955.448400  21.980    2.136      6     12 0x002030
 57957.446585  20.206    0.546     30     16 0x400830
 57957.455846  19.372    0.283     65     18 0x400e30
 57957.474384  15.128    0.005   3228     15 0x500931
 57957.476811  19.319    0.240     68     16 0x082030
 57959.449668 -20.873    0.924    -16     15 0x000000
 57959.459055 -20.546    0.628    -22     14 0x000000
 57959.483667 -21.838    1.623     -7     11 0x000000
 57959.485614  21.049    0.927     14     13 0x000030
 57963.460823  21.828    1.884      7     13 0x400110
 57963.470227 -21.377    1.342    -10     14 0x002000
 57963.471202  22.730    4.281      3     13 0x002000
 57963.488912  19.508    0.217     57     12 0x400110
 57965.445573  16.042    0.009   1390     13 0x500831
 57965.455464  19.593    0.249     53     13 0x400830
 57965.456436  19.469    0.258     59     15 0x002030
 57965.473549  19.982    0.386     37     14 0x082030
 57967.428500 -22.832    4.966     -3     13 0x000000
 57967.438315  19.503    0.255     57     15 0x001000
 57967.457533 -19.987    0.525    -37     19 0x000000
 57967.459487  20.451    1.035     24     25 0x000000
 57969.428560  18.834    0.162    106     17 0x400110
 57969.437888  19.031    0.221     89     20 0x400220
 57969.456969 -20.811    1.067    -17     18 0x002000
 57969.458435  19.792    0.422     44     19 0x400220
 57972.417294 -20.687    2.054    -19     40 0x000000
 57972.427042  19.722    0.581     47     27 0x000000
 57972.428014  23.209   14.250      2     27 0x000000
 57972.429000  20.463    1.101     24     26 0x000000
 57974.419478  22.855    8.067      3     21 0x000010
 57974.439270  23.316   14.900      2     26 0x000000
 57974.440806  23.133   11.583      2     24 0x000000
 57974.459016  20.501    1.015     23     23 0x000000
 57976.457119  20.186    3.680     31    113 0x900002
 57978.439812 -19.651    0.343    -50     17 0x400130
 57978.440327 -20.695    0.829    -19     16 0x002030
 57978.442376  20.834    1.000     17     17 0x400130
 57978.457951 -21.041    1.266    -14     18 0x002000
 57980.399767  20.932    1.084     15     17 0x000030
 57980.408592  22.087    2.076      5     11 0x000000
 57980.427806  21.793    1.458      7     10 0x000000
 57980.429769  24.816   21.600      0      9 0x400220
 57982.402563  15.669    0.008   1960     15 0x100031
 57982.412924  18.346    0.082    166     14 0x400130
 57982.432707  15.747    0.008   1825     14 0x500131
 57982.435820  18.675    0.128    123     16 0x002030
 57990.389547  15.709    0.007   1889     13 0x900031
 57990.399074  15.949    0.009   1515     13 0xd00b31
 57990.418728  15.951    0.009   1512     14 0xd00831
 57990.420748  15.574    0.006   2141     13 0xd00831
 57992.375117 -20.789    0.750    -18     13 0x080010
 57992.392641 -23.796   13.182     -1     14 0x000000
 57992.395504  21.180    0.718     12      9 0x000000
 57992.410772  20.996    0.748     14     11 0x400110
 57996.387573  23.265   10.750      2     19 0x000000
 57996.407047 -21.999    2.673     -6     15 0x000000
 57996.410103 -26.248  156.000      0     18 0x000000
 57996.424449  19.582    0.270     53     14 0x001000
 57998.360502  19.687    0.410     48     20 0x000000
 57998.378137  20.468    0.954     24     22 0x000030
 57998.378636  19.677    0.442     49     22 0x400230
 57998.379639  20.327    0.811     27     22 0x000020
 57998.380147  18.771    0.222    113     25 0x400330
 57998.382168 -20.696    1.152    -19     22 0x000000
 57998.383154  20.443    0.956     24     23 0x400330
 57998.398256  20.078    0.683     34     23 0x400220
 58000.378476 -19.931    0.842    -39     33 0x002000
 58000.378938  17.891    3.161    253    800 0x500832
 58000.379401 -20.295    0.794    -28     22 0x400110
 58002.329351  19.662    0.634     50     31 0x000000
 58002.346874  20.450    1.509     24     36 0x000000
 58002.347344  19.743    1.104     46     51 0x000000
 58002.358645  18.304    0.595    173    103 0x100002
 58002.360057 -16.136    0.803  -1276   1024 0x500812
 58004.318722 -20.623    1.154    -20     24 0x400130
 58004.336364 -19.334    0.326    -67     22 0x080030
 58004.346141 -19.975    0.553    -37     21 0x080030
 58004.347054 -21.367    2.349    -10     24 0x000030
 58010.324072  18.945    0.141     96     14 0x082030
 58010.332879  15.830    0.006   1691     10 0x500831
 58010.341670  15.652    0.006   1991     11 0x500831
 58010.343045  15.910    0.008   1571     13 0x500831
 58010.343968  18.859    0.144    104     15 0x400830
 58010.344428  20.093    0.383     33     13 0x400230
 58010.345345  16.339    0.011   1058     12 0x500e31
 58010.358453  16.024    0.010   1414     14 0x500831
 58014.312628  20.762    0.851     18     15 0x400130
 58014.321402  15.615    0.007   2061     14 0x500831
 58014.337116 -20.956    0.972    -15     15 0x002020
 58014.338033  15.806    0.009   1728     15 0x100031
 58022.302641  20.263    0.641     28     18 0x082010
 58022.319695  20.385    0.640     26     16 0x400230
 58022.321069  20.781    1.000     18     18 0x400330
 58022.321528  18.851    0.148    105     15 0x500331
 58022.322444  19.232    0.219     74     16 0x400230
 58022.323360  15.111    0.005   3277     17 0x500831
 58022.337719  20.413    0.728     25     18 0x400220
 58022.341389  19.638    0.355     51     18 0x400330
 58026.338611  20.651    0.977     20     20 0x400220
 58026.354439 -19.425    0.347    -62     21 0x002000
 58026.358564  19.968    0.528     37     20 0x400220
 58026.373017 -23.027    9.889     -2     22 0x002000
 58028.327226  21.814    3.113      7     21 0x000000
 58028.334865 -20.160    0.789    -31     25 0x000000
 58028.339460 -22.007    3.917     -6     22 0x000000
 58028.351102  17.970    1.675    236    394 0x100002
 58028.356128  15.556    0.455   2176    989 0x100002
 58028.357041 -18.726    0.847   -117    100 0x100002
 58028.370588 -21.904    4.120     -6     26 0x080010
 58030.312941  23.109   12.667      2     26 0x000000
 58030.327732  20.419    1.208     25     30 0x400110
 58030.330502  19.243    0.373     73     27 0x000000
 58030.332830 -19.078    0.333    -85     28 0x001000
 58034.307225  16.969    1.832    592   1085 0x900002
 58034.324404  15.542    7.986   2203  17594 0x900002
 58034.326297  15.298    2.818   2760   7778 0x900002
 58036.337913 -20.678    0.681    -19     13 0x000030
 58036.352729  19.290    0.220     70     15 0x081030
 58036.354099  20.209    0.642     30     19 0x080010
 58036.360525 -21.309    1.539    -11     17 0x000000
 58038.306380  19.853    0.444     42     18 0xc00220
 58038.319893  17.756    0.211    287     60 0xd00832
 58038.325508  14.656    0.005   4983     24 0xd00931
 58038.335844  13.732    0.005  11669     54 0xd00833
 58040.316988 -19.598    0.359    -53     19 0x080030
 58040.324904 -20.921    1.213    -16     19 0x000030
 58040.327187 -19.517    0.348    -57     20 0x000000
 58040.340817 -20.273    0.800    -28     23 0x000000
 58042.304645  21.813    2.679      7     18 0x400330
 58042.307855  15.781    0.008   1769     14 0x500831
 58042.319118  15.527    0.007   2235     15 0x500831
 58042.326931  20.195    0.595     30     18 0x082030
 58046.291992  18.470    0.145    149     22 0x400330
 58046.301815  21.127    1.288     13     17 0x400220
 58046.307835  19.901    0.475     40     19 0x002000
 58046.317667  15.174    0.005   3094     16 0x500831
 58054.280695  19.426    0.388     62     24 0x400220
 58054.288166  19.122    0.259     82     21 0x400220
 58054.295678  18.609    0.211    131     28 0x400220
 58054.296628  21.889    3.609      6     23 0x002000
 58054.298003  20.529    1.385     22     31 0x400330
 58054.301686  21.707    3.000      8     23 0x002000
 58054.311516  19.360    0.390     66     26 0x400110
 58054.318405  21.035    1.902     14     27 0x400330
 58056.292867  19.485    0.278     58     16 0x001000
 58056.304295 -20.910    1.020    -16     16 0x000000
 58056.307945  20.968    1.295     15     19 0x080010
 58056.318862 -20.474    0.829    -24     19 0x000000
 58060.286602  23.980   42.875      1     40 0x000000
 58060.291724  19.349    0.653     66     43 0x000000
 58060.303996 -21.556    5.689     -9     49 0x000000
 58060.313161  22.579   13.034      3     44 0x000000
 58062.277711  20.109    0.910     33     30 0x000000
 58062.283392  19.549    0.545     55     30 0x000000
 58062.289452  20.016    0.887     36     32 0x000000
 58062.295136  20.136    1.014     32     32 0x000000
 58064.283712  22.878    7.923      3     20 0x000000
 58064.292259 -21.225    1.491    -12     18 0x000000
 58064.301341  22.354    5.220      4     22 0x000000
 58064.313617 -22.026    2.979     -6     17 0x000000
 58066.263880  17.454    1.486    379    563 0x500832
 58066.270808  19.981    0.585     37     22 0x500111
 58066.276327 -20.488    0.885    -23     20 0x080010
 58066.278650 -21.689   10.500     -8     80 0x500832
 58066.279567  21.992    3.000      6     17 0x000000
 58066.283759  19.810    0.444     43     19 0x400220
 58066.286109  19.568    0.397     54     22 0x400330
 58066.287025 -22.821    7.615     -3     21 0x000000
 58066.292258 -20.771    1.217    -18     22 0x080030
 58066.292715  20.390    0.775     25     20 0x080010
 58066.300976 -20.088    0.662    -34     22 0x080010
 58066.301893  22.982    9.900      2     23 0x400330
 58068.268874  14.424    0.003   6171     18 0x500131
 58068.276748 -20.863    1.577    -16     26 0x000030
 58068.280498  17.165    0.050    494     24 0x180031
 58068.285195 -20.222    1.541    -30     46 0x080010
 58068.288577  19.453    0.496     60     30 0x000030
 58068.293259  14.998    0.006   3637     23 0x180011
 58068.297132 -19.048    0.423    -87     37 0x000030
 58068.308832  19.089    0.645     84     54 0x100002
 58074.258961 -20.730    0.922    -18     17 0x002020
 58074.266862  19.741    0.330     46     15 0x400130
 58074.269181  17.664    0.056    312     18 0x500a31
 58074.274718  21.132    1.375     13     18 0x400220
 58074.277059  14.834    0.005   4229     19 0x500831
 58074.282621  19.531    0.367     56     20 0x400220
 58074.284460  19.811    0.420     43     18 0x082030
 58078.251144  19.251    0.245     72     18 0x500231
 58078.258541  16.725    0.028    742     20 0x500931
 58078.262243 -19.393    0.254    -64     16 0x400110
 58078.265932  18.259    0.093    180     17 0x400330
 58078.269179  22.515    4.375      4     16 0x002000
 58078.273331  21.620    1.909      8     16 0x500331
 58078.277107  20.760    0.949     18     17 0x400930
 58078.284596 -20.055    0.640    -34     22 0x002020
 58082.265767  14.814    0.266   4310   1146 0xd00832
 58082.273663  15.712    1.039   1885   1959 0xd00a12
 58082.281048  15.963    0.911   1496   1363 0xd00932
 58082.288978  20.837    4.214     17     71 0x900002
 58091.233788  21.318    6.426     11     69 0x900002
 58091.242313  21.029    5.989     14     84 0x900002
 58091.250246 -20.891    5.108    -16     82 0x900002
 58091.258762  18.722    0.785    118     92 0x900002
 58094.243417  20.058    0.579     34     20 0x002000
 58094.250864 -21.828    2.920     -7     20 0x400220
 58094.258307  19.383    0.296     64     19 0x500221
 58094.265718 -20.570    0.885    -22     19 0x002000
 58096.242400  14.328    0.004   6739     27 0x500831
 58096.251571  14.842    0.006   4199     23 0x500831
 58096.254797  22.364    6.125      4     25 0x082030
 58096.258987  14.276    0.003   7074     24 0x500a31
 58096.262212  18.048    0.127    219     28 0x100031
 58096.266420  14.955    0.006   3786     22 0x500a31
 58096.270104  18.819    0.269    108     29 0x400830
 58096.278532  17.627    0.089    323     29 0x500a31
