          MJD       m      dm    uJy   duJy
 57352.596187     nan     nan    -58     41
 57356.600053 -19.358   0.459    -66     30
 57356.601941  19.380   0.436     64     28
 57356.606648 -20.525   1.303    -22     29
 57356.626391  20.963   1.955     15     29
 57357.570734 -19.204   0.431    -76     33
 57357.578087     nan     nan    nan    nan
 57357.599626  21.913   5.222      6     33
 57357.620689  22.827   9.750      3     26
 57358.545682 -19.830   0.811    -42     34
 57358.566540 -19.293   0.491    -70     34
 57358.581249 -20.312   1.194    -27     32
